"lipid","pearson_r","p_value","lipid_class"
"CER(32:1;O2)",0.0587966809179236,0.4503888622421,"CER"
"CER(33:1;O2)",-0.164996404700622,0.0331027353668309,"CER"
"CER(34:0;O2)",0.178763154932495,0.0208091985278275,"CER"
"CER(34:0;O3)",-0.0851110761477756,0.27412954935657,"CER"
"CER(34:1;O2)",0.16278271667574,0.0355658703202071,"CER"
"CER(34:2;O2)",0.188717448761079,0.014588465732658,"CER"
"CER(36:1;O2)",0.0663387672647156,0.394333108006424,"CER"
"CER(37:1;O2)",0.0587329218776688,0.450881042993947,"CER"
"CER(38:0;O2)",0.10707482662085,0.168425192841741,"CER"
"CER(38:0;O3)",0.0263419054200617,0.735427789579264,"CER"
"CER(38:1;O2)",0.03358617366071,0.666547877110538,"CER"
"CER(39:0;O2)",-0.0524809599957583,0.500582242548788,"CER"
"CER(39:1;O2)",0.072219710690601,0.353674097975323,"CER"
"CER(40:0;O2)",-0.121601055972259,0.117478819824759,"CER"
"CER(40:0;O3)",-0.0252389204520302,0.746119316864933,"CER"
"CER(40:1;O2)",-0.0365126784281099,0.639455643225505,"CER"
"CER(40:2;O2)",0.132895168404169,0.0868805706849821,"CER"
"CER(40:3;O2)",0.213386020633439,0.00562619679794322,"CER"
"CER(41:0;O2)",-0.0732680980115018,0.346711855727212,"CER"
"CER(41:0;O3)",-0.109554141901788,0.158727637649851,"CER"
"CER(41:1;O2)",-0.149597717451846,0.0536588081875195,"CER"
"CER(41:1;O3)",0.0398564391273901,0.609075611048569,"CER"
"CER(41:2;O2)",-0.00772758561442123,0.921047889982035,"CER"
"CER(42:0;O2)",-0.173025632270949,0.0253463670562411,"CER"
"CER(42:0;O3)",-0.126443321948461,0.103466171235751,"CER"
"CER(42:1;O2)",-0.192811944418437,0.0125448562237139,"CER"
"CER(42:1;O3)",-0.116120086440351,0.135073368654939,"CER"
"CER(42:2;O2)",-0.0148929822138525,0.84850617451586,"CER"
"CER(42:2;O3)",-0.144389827001105,0.0626481019596709,"CER"
"CER(42:3;O2)",0.142673852980207,0.0658673453342744,"CER"
"CER(43:0;O2)",-0.154536741740184,0.0461465502155087,"CER"
"CER(43:0;O3)",-0.0508308603093243,0.51416405513712,"CER"
"CER(43:1;O2)",0.00253840145478906,0.974027825836109,"CER"
"CER(43:2;O2)",-0.152813445903209,0.0486612831609709,"CER"
